Rugby 18,10.04 GB,10.04
Rush A Disney Pixar Adventure,20.8 GB,20.8
Sea of Thieves,18.73 GB,18.73
Shape of the World,1.08 GB,1.08
Shift Quantum,0.646 GB,0.646
Skate 3,6.7 GB,6.7
Slime Rancher,1 GB,1
Smite,16.43 GB,16.43
Snake Pass,3.67 GB,3.67
Sonic Forces,18.5 GB,18.5
Spiral Splatter,0.287 GB,0.287
Star Wars Battlefront II,55.2 GB,55.2
Star Wars The Force Unleashed,25 GB,25
Starpoint Gemini Warlords,13.37 GB,13.37
State of Decay 2,24.48 GB,24.48
Steep,22.92 GB,22.92
Super Lucky's TaleDolby****Atmos,8.3 GB,8.3
Super Mega Baseball 2,3.08 GB,3.08
Super Night Riders,0.316 GB,0.316
Surviving Mars,4.32 GB,4.32
Sword Art Online: Fatal Bullet,12.54 GB,12.54
Tacoma,2.2 GB,2.2
Tennis World Tour,4.28 GB,4.28
Tesla vs Lovecraft,0.552 GB,0.552
The Division,45.14 GB,45.14
The Elder Scrolls IV: Oblivion,6.4 GB,6.4
The Elder Scrolls Online,81.6 GB,81.6
The Elder Scrolls V: Skyrim Special Edition,24 GB,24
The Evil Within 2,27.8 GB,27.8
The Incredible Adventures of Van Helsing III,12.04 GB,12.04
The Invisible Hours,9.42 GB,9.42
The Surge,6.4 GB,6.4
The Vanishing of Ethan Carter,3.3 GB,3.3
The Witcher 2: Assassins of Kings,25 GB,25
The Witcher 3: Wild Hunt (Complete Edt),39.9 GB,39.9
theHunter: Call of the Wild,18.05 GB,18.05
Thumper,0.914 GB,0.914
Titan Quest,10.4 GB,10.4
Titanfall 2,68.7 GB,68.7
Tom Clancy's Ghost Recon Wildlands,52.2 GB,52.2
Transcripted,1.6 GB,1.6
TT Isle of Man - Ride on the Edge,17.43 GB,17.43
UFC 3,19.43 GB,19.43
Unravel Two,3.34 GB,3.34
Vampyr,19.65 GB,19.65
Warhammer: End Times - Vermintide,23.6 GB,23.6
Where Are My Friends?,0.628 GB,0.628
Wizard of Legend,0.543 GB,0.543
Wolfenstein II: The New Colossus,49 GB,49
World of Tanks,47.2 GB,47.2
WRC 7 FIA World Rally Championship,18.4 GB,18.4
WWE 2K18,43.32 GB,43.32
XCOM 2,21.1 GB,21.1
Zoo Tycoon: Ultimate Animal Collection,9.2 GB,9.2
