Title,Size,date added to alvro,type
Atelier Sophie The Alchemist of the Mysterious (EU-EN).rar,1.99 GB,2017-02-14 21:02,Only VPK 
Atelier Sophie The Alchemist of the Mysterious Book [PCSB00973] (v01.00) .rar,1.99 GB,2017-02-19 6:02,VPK patched
Atelier Sophie.rar,3.36 GB,2017-02-11 13:02,MaiDump
Atelier Totori Plus The Adventurer of Arland [PCSE00231] (v01.00) .rar,2.81 GB,2017-02-17 7:02,Only VPK 
Atelier Totori Plus The Adventurer of Arland.rar,5.62 GB,2017-02-11 13:02,MaiDump
Atomic Ninjas (EU-EN).rar,100.75 MB,2017-02-14 21:02,Only VPK 
Atomic Ninjas [PCSB00274] (v01.00) .rar,100.75 MB,2017-02-16 10:02,Only VPK 
Azkend 2 - The World Beneath (USA) (PSN).zip,50.29 MB,2019-01-14 12:01,PSN VPK
Azkend 2 [PCSE00861] (v01.00) .rar,50.39 MB,2017-02-17 7:02,Only VPK 
Bad Apple Wars (USA).zip,1.50 GB,2019-01-14 12:01,VPK noIntro
Badland - Game of the Year Edition.rar,106.67 MB,2017-02-11 12:02,MaiDump
BADLAND Game of the Year Edition [PCSE00573] (v01.00) .rar,129.56 MB,2017-02-17 7:02,Only VPK 
Bastion (US-EN).rar,491.80 MB,2017-02-14 21:02,Only VPK 
Bastion [PCSE00790] (v01.00) .rar,493.61 MB,2017-02-17 7:02,Only VPK 
Batman - Arkham Origins - Blackgate (Europe).zip,1.23 GB,2019-01-14 12:01,VPK noIntro
Batman Arkham Origins Blackgate [PCSE00269] (v01.00) .rar,1.19 GB,2017-02-17 7:02,Only VPK 
"Ben 10 - Galactic Racing (USA) (En,Fr).zip",830.98 MB,2019-01-14 12:01,VPK noIntro
Ben 10 Galactic Racing.rar,819.81 MB,2017-02-11 13:02,MaiDump
"Best of Arcade Games (Europe) (En,Fr,De,Es,It,Nl).zip",50.21 MB,2019-01-14 12:01,VPK noIntro
Best of Arcade Games.rar,49.13 MB,2017-02-11 13:02,MaiDump
Best of Board Games [PCSE00378] (v01.00) .rar,75.26 MB,2017-02-16 10:02,Only VPK 
BIT.TRIP Presents... Runner2Future Legend of Rhythm Alien [PCSB00491] (v01.00) .rar,494.59 MB,2017-02-17 7:02,Only VPK 
"BlazBlue - Chrono Phantasma (USA) (En,Ja).zip",3.10 GB,2019-01-14 12:01,VPK noIntro
"BlazBlue - Chrono Phantasma Extend (Europe) (En,Ja) (Story & Gallery Mode) (DLC).zip",2.12 GB,2019-01-14 12:01,PSN VPK
"BlazBlue - Chrono Phantasma Extend (Europe) (En,Ja).zip",3.04 GB,2019-01-14 12:01,VPK noIntro
BlazBlue - Continuum Shift - EXTEND (USA).zip,3.20 GB,2019-01-14 12:01,VPK noIntro
BLAZBLUE CHRONOPHANTASMAEXTEND [PCSE00677] (v01.00) .rar,3.05 GB,2017-02-16 10:02,Only VPK 
BlazBlue Continuum Shift EXTEND.rar,3.20 GB,2017-02-11 13:02,MaiDump
Borderlands 2 (EU-EN).rar,3.15 GB,2017-02-14 21:02,Only VPK 
"Borderlands 2 (Europe) (En,Fr,De) (Update 1.07) (DLC).zip",271.71 MB,2019-01-14 12:01,PSN VPK
"Borderlands 2 (Europe) (En,Fr,De).zip",2.97 GB,2019-01-14 12:01,VPK noIntro
Borderlands 2.rar,4.80 GB,2017-02-11 13:02,MaiDump
BreakQuest Extra Evolution.rar,143.13 MB,2017-02-11 13:02,MaiDump
Broken Age.rar,1.52 GB,2017-02-11 13:02,MaiDump
"Broken Sword 5 - The Serpent's Curse (Europe) (En,Fr,De,Es,It) (PSN).zip",1.62 GB,2019-01-14 12:01,PSN VPK
Broken Sword 5 - the Serpent's Curse [PCSB00483] (v01.00) .rar,1.62 GB,2017-02-16 10:02,Only VPK 
Bullet Girls (Japan) (First Wave) (DLC).zip,2.33 MB,2019-01-14 12:01,PSN VPK
Bullet Girls (Japan).zip,741.42 MB,2019-01-14 12:01,VPK noIntro
Bullet Girls [PCSG00361] (v01.00) .rar,744.11 MB,2017-02-16 10:02,Only VPK 
Bullet Girls 2.rar,2.69 GB,2017-02-11 13:02,MaiDump
Bullet Girls.rar,764.19 MB,2017-02-11 13:02,MaiDump
Caligula.rar,1.24 GB,2017-02-11 13:02,MaiDump
Call of Duty - Black Ops - Declassified (Europe).zip,2.20 GB,2019-01-14 12:01,VPK noIntro
Call of Duty Black Ops Declassified [PCSB00213] (v01.00) .rar,2.23 GB,2017-02-17 7:02,Only VPK 
Call of Duty Black Ops Declassified.rar,5.06 GB,2017-02-11 13:02,MaiDump
Captain Earth Mind Labyrinth.rar,2.59 GB,2017-02-11 13:02,MaiDump
"CastleStorm (Europe) (En,Fr,De,Es,It) (PSN).zip",251.09 MB,2019-01-14 12:01,PSN VPK
Cel Damage HD [PCSE00422] (v01.00) .rar,559.50 MB,2017-02-17 7:02,Only VPK 
Chaos-Child (USA).zip,1.74 GB,2019-01-14 12:01,VPK noIntro
"Child of Light (Europe) (En,Fr,De,Es,It,Ru).zip",947.60 MB,2019-01-14 12:01,VPK noIntro
Child of Light [PCSB00598] (v01.00) .rar,939.87 MB,2017-02-17 7:02,Only VPK 
Child of Light [PCSE00480] (v01.00) .rar,930.21 MB,2017-02-17 7:02,Only VPK 
Child of Light.rar,936.82 MB,2017-02-11 13:02,MaiDump
Chronovolt.rar,125.54 MB,2017-02-11 13:02,MaiDump
Ciel noSurge OFFLINE.rar,4.55 GB,2017-02-11 13:02,MaiDump
Citizens of Earth [PCSE00468] (v01.00) .rar,1.57 GB,2017-02-17 7:02,Only VPK 
Civilization Revolution 2 Plus.rar,388.58 MB,2017-02-11 13:02,MaiDump
Classic Dungeon Sengoku.rar,303.62 MB,2017-02-11 13:02,MaiDump
Cliff Diving (EU-EN).rar,256.28 MB,2017-02-14 21:02,Only VPK 
Cliff Diving [PCSF00033] (v01.00) .rar,256.27 MB,2017-02-15 19:02,Only VPK 
Coconut Dodge Revitalised [PCSE00267] (v01.00) .rar,18.30 MB,2017-02-17 7:02,Only VPK 
Coconut Dodge Revitalised.rar,25.42 MB,2017-02-11 13:02,MaiDump
Code - Realize - Guardian of Rebirth (USA).zip,3.12 GB,2019-01-14 12:01,VPK noIntro
Code Realize ~Guardian of Rebirth~ [PCSE00763] (v01.00) .rar,3.23 GB,2017-02-17 7:02,Only VPK 
Code Realize ~Guardian of Rebirth~.rar,3.10 GB,2017-02-11 13:02,MaiDump
Code-Realize - Future Blessings (USA).zip,2.32 GB,2019-01-14 12:01,VPK noIntro
Collar x Malice (USA).zip,2.48 GB,2019-01-14 12:01,VPK noIntro
Collar x Malice [PCSG00866] FULLGAME_01.00_C0_V2.0 - Vitamin 2.0.rar,2.64 GB,2017-02-17 7:02,Only VPK 
Color Guardians.rar,299 MB,2017-02-11 13:02,MaiDump
Conception II - Children of the Seven Stars (USA).zip,1.35 GB,2019-01-14 12:01,VPK noIntro
CONCEPTION II Children of the Seven Stars [PCSE00376] (v01.00) .rar,1.37 GB,2017-02-17 7:02,Only VPK 
Conception II.rar,1.36 GB,2017-02-11 13:02,MaiDump
Corpse Party - Blood Drive (USA).zip,1018.65 MB,2019-01-14 12:01,VPK noIntro
Corpse Party Blood Drive.rar,2.26 GB,2017-02-11 13:02,MaiDump
CounterSpy.rar,830.39 MB,2017-02-11 13:02,MaiDump
Crazy Market [PCSE00291] (v01.00) .rar,26.81 MB,2017-02-16 10:02,Only VPK 
Criminal Girls - Invite Only (USA).zip,1.15 GB,2019-01-14 12:01,VPK noIntro
Criminal Girls 2 - Party Favors (Europe).zip,1.11 GB,2019-01-14 12:01,VPK noIntro
Criminal Girls 2 Party Favors [PCSE00916] (v01.00) .rar,1.11 GB,2017-02-17 7:02,Only VPK 
Criminal Girls 2 Party Favors [PCSG00681] (v01.00) .rar,1.24 GB,2017-02-17 7:02,Only VPK 
Criminal Girls 2 Party Favors.rar,2.27 GB,2017-02-11 13:02,MaiDump
Criminal Girls Invite Only [PCSE00516] (v01.00) .rar,1.51 GB,2017-02-17 7:02,Only VPK 
Criminal Girls Invite Only.rar,2.26 GB,2017-02-11 13:02,MaiDump
Crimsonland (USA) (PSN).zip,41.25 MB,2019-01-14 12:01,PSN VPK
Croixleur Sigma (Europe) (PSN).zip,582.55 MB,2019-01-14 12:01,PSN VPK
Croixleur Sigma [PCSB00767] (v01.00) .rar,589.59 MB,2017-02-16 10:02,Only VPK 
Croixleur Sigma.rar,577.29 MB,2017-02-11 13:02,MaiDump
