Title,Size,date added to alvro,type
Call of Duty 2 - Big Red One (USA).7z,918.30 MB,2017-05-23 11:05,GAMECUBE USA
Capcom vs. SNK 2 EO (USA).7z,1.30 GB,2017-05-23 11:05,GAMECUBE USA
"Carmen Sandiego - The Secret of the Stolen Drums (USA) (En,Fr).7z",820.49 MB,2017-05-23 11:05,GAMECUBE USA
Casper - Spirit Dimensions (USA).7z,1.27 GB,2017-05-23 11:05,GAMECUBE USA
Catwoman (USA).7z,1.13 GB,2017-05-23 11:05,GAMECUBE USA
Cel Damage (USA).7z,1.27 GB,2017-05-23 11:05,GAMECUBE USA
Chaos Field (USA).7z,1.25 GB,2017-05-23 11:05,GAMECUBE USA
Charlie and the Chocolate Factory (USA).7z,1.05 GB,2017-05-23 11:05,GAMECUBE USA
"Charlie_-_s Angels (USA) (En,Fr).7z",1.09 GB,2017-05-23 11:05,GAMECUBE USA
Chibi-Robo! Plug into Adventure! (USA).7z,1.25 GB,2017-05-23 11:05,GAMECUBE USA
"Chronicles of Narnia, The - The Lion, the Witch and the Wardrobe (USA).7z",1.06 GB,2017-05-23 11:05,GAMECUBE USA
City Racer (USA).7z,1.12 GB,2017-05-23 11:05,GAMECUBE USA
Codename - Kids Next Door - Operation - V.I.D.E.O.G.A.M.E. (USA).7z,1.06 GB,2017-05-23 11:05,GAMECUBE USA
Conflict - Desert Storm (USA) (v1.00).7z,927.28 MB,2017-05-23 11:05,GAMECUBE USA
Conflict - Desert Storm (USA) (v1.01).7z,927.29 MB,2017-05-23 11:05,GAMECUBE USA
Conflict - Desert Storm II - Back to Baghdad (USA).7z,1.15 GB,2017-05-23 11:05,GAMECUBE USA
Crash Bandicoot - The Wrath of Cortex (USA).7z,908.69 MB,2017-05-23 11:05,GAMECUBE USA
Crash Nitro Kart (USA).7z,1.21 GB,2017-05-23 11:05,GAMECUBE USA
Crash Tag Team Racing (USA).7z,1.08 GB,2017-05-23 11:05,GAMECUBE USA
Crazy Taxi (USA).7z,1.30 GB,2017-05-23 11:05,GAMECUBE USA
Cubivore (USA).7z,1.31 GB,2017-05-23 11:05,GAMECUBE USA
Cubix Robots for Everyone - Showdown (USA).7z,1.12 GB,2017-05-23 11:05,GAMECUBE USA
Curious George (USA).7z,857.33 MB,2017-05-23 11:05,GAMECUBE USA
Custom Robo (USA).7z,1.10 GB,2017-05-23 11:05,GAMECUBE USA
"Dakar 2 - The World_-_s Ultimate Rally (USA) (En,Fr,De,Es,It).7z",1 GB,2017-05-23 11:05,GAMECUBE USA
Dance Dance Revolution - Mario Mix (USA).7z,1.34 GB,2017-05-23 11:05,GAMECUBE USA
Dark Summit (USA).7z,1.14 GB,2017-05-23 11:05,GAMECUBE USA
Darkened Skye (USA).7z,897.18 MB,2017-05-23 11:05,GAMECUBE USA
Dave Mirra Freestyle BMX 2 (USA).7z,1.14 GB,2017-05-23 11:05,GAMECUBE USA
Dead to Rights (USA).7z,1.20 GB,2017-05-23 11:05,GAMECUBE USA
Def Jam - Fight for NY (USA).7z,941.16 MB,2017-05-23 11:05,GAMECUBE USA
Def Jam - Vendetta (USA).7z,1.16 GB,2017-05-23 11:05,GAMECUBE USA
Defender (USA).7z,1.24 GB,2017-05-23 11:05,GAMECUBE USA
Die Hard - Vendetta (USA).7z,1.09 GB,2017-05-23 11:05,GAMECUBE USA
Digimon Rumble Arena 2 (USA).7z,704.05 MB,2017-05-23 11:05,GAMECUBE USA
Digimon World 4 (USA).7z,639.25 MB,2017-05-23 11:05,GAMECUBE USA
Dinotopia - The Sunstone Odyssey (USA).7z,1.02 GB,2017-05-23 11:05,GAMECUBE USA
Disney Sports - Basketball (USA).7z,1.24 GB,2017-05-23 11:05,GAMECUBE USA
