Title,Size,date added to alvro,type
Alpha eSHOP [01000A800B998000][v0].nsp,257.31 MB,2019-04-21 11:04,NSW NSP Games
Alteric [01004DB00935A000][v0].nsp,110.35 MB,2019-01-11 11:01,NSW NSP Games
Alternate Jake Hunter DAEDALUS The Awakening of Golden Jazz [0100C3D00D1D4000][v0].nsp,2.42 GB,2019-05-28 20:05,NSW NSP Games
Alvastia Chronicles eSHOP [0100F0700CD8E000][v0].nsp,53.49 MB,2019-02-17 10:02,NSW NSP Games
Alwa's Awakening [01004C200B0B4000][v0].nsp.zip,220.88 MB,2019-01-11 12:01,NSW NSP Games
Ambition of the Slimes [0100A620083DA000][v0].nsp,48.36 MB,2019-01-11 11:01,NSW NSP Games
Amnesia Collection [01003CC00D0BE000][v0].nsp,5.27 GB,2019-09-16 19:09,NSW NSP Games
Amnesia Collection[01003CC00D0BE800][US][v131072].nsp,42.82 MB,2019-09-16 19:09,NSW NSP Games
Anarcute [010050900E1C6000][v0].nsp,1.45 GB,2019-06-01 10:06,NSW NSP Games
Ancient Rush 2 [010021700BC56000][v0].nsp,2.32 GB,2019-02-07 7:02,NSW NSP Games
Angels of Death [0100AE000AEBC000][v0].nsp,772.22 MB,2019-01-11 11:01,NSW NSP Games
Angels of Death [v0].nsp.zip,772.41 MB,2019-01-11 12:01,NSW NSP Games
Anima Gate of Memories - Arcane Edition [010033F00B3FA000][v0].nsp,6.13 GB,2019-01-11 11:01,NSW NSP Games
Anima Gate of Memories - The Nameless Chronicles [01007A400B3F8000][v0].nsp,3.37 GB,2019-01-11 11:01,NSW NSP Games
Anima Gate of Memories [0100706005B6A000][v0].nsp,4.57 GB,2019-01-11 11:01,NSW NSP Games
Animal Hunter Z [010035500CA0E000][v0].nsp,508.88 MB,2019-01-11 11:01,NSW NSP Games
Animal Rivals Nintendo Switch Edition [010065B009B3A000][v0].nsp,2.11 GB,2019-01-11 11:01,NSW NSP Games
Animal Super Squad [0100EFE009424000][v0].nsp,267.88 MB,2019-01-11 11:01,NSW NSP Games
Animated Jigsaws Beautiful Japanese Scenery [01003C200A232000][v0].nsp,418.22 MB,2019-01-11 11:01,NSW NSP Games
